1	0	N					
1	0	N					
1	0	N					
1	0	N					
1	0	N					
1	0	N					
1	0	N					
1	0	N					
1	0	N					
1	0	N					
1	0	N					
1	0	N					
1	0	N					
1	0	N					
1	0	N					
1	0	N					
1	0	N					
1	0	N					
1	0	N					
1	0	N					
1	2	H					
1	2	H					
1	2	L					
1	2	L					
1	3	H					
1	3	H					
1	3	L					
1	3	L					
1	4	H					
1	4	H					
1	4	L					
1	4	L					
1	5	H					
1	5	H					
1	5	L					
1	5	L					
1	6	H					
1	6	H					
1	6	L					
1	6	L					
2	0	N					
2	0	N					
2	0	N					
2	0	N					
2	0	N					
2	0	N					
2	0	N					
2	0	N					
2	0	N					
2	0	N					
2	0	N					
2	0	N					
2	0	N					
2	0	N					
2	0	N					
2	0	N					
2	0	N					
2	0	N					
2	0	N					
2	0	N					
2	1	H					
2	1	H					
2	1	L					
2	1	L					
2	3	H					
2	3	H					
2	3	L					
2	3	L					
2	4	H					
2	4	H					
2	4	L					
2	4	L					
2	5	H					
2	5	H					
2	5	L					
2	5	L					
2	6	H					
2	6	H					
2	6	L					
2	6	L					
3	0	N					
3	0	N					
3	0	N					
3	0	N					
3	0	N					
3	0	N					
3	0	N					
3	0	N					
3	0	N					
3	0	N					
3	0	N					
3	0	N					
3	0	N					
3	0	N					
3	0	N					
3	0	N					
3	0	N					
3	0	N					
3	0	N					
3	0	N					
3	1	H					
3	1	H					
3	1	L					
3	1	L					
3	2	H					
3	2	H					
3	2	L					
3	2	L					
3	4	H					
3	4	H					
3	4	L					
3	4	L					
3	5	H					
3	5	H					
3	5	L					
3	5	L					
3	6	H					
3	6	H					
3	6	L					
3	6	L					
4	0	N					
4	0	N					
4	0	N					
4	0	N					
4	0	N					
4	0	N					
4	0	N					
4	0	N					
4	0	N					
4	0	N					
4	0	N					
4	0	N					
4	0	N					
4	0	N					
4	0	N					
4	0	N					
4	0	N					
4	0	N					
4	0	N					
4	0	N					
4	1	H					
4	1	H					
4	1	L					
4	1	L					
4	2	H					
4	2	H					
4	2	L					
4	2	L					
4	3	H					
4	3	H					
4	3	L					
4	3	L					
4	5	H					
4	5	H					
4	5	L					
4	5	L					
4	6	H					
4	6	H					
4	6	L					
4	6	L					
5	0	N					
5	0	N					
5	0	N					
5	0	N					
5	0	N					
5	0	N					
5	0	N					
5	0	N					
5	0	N					
5	0	N					
5	0	N					
5	0	N					
5	0	N					
5	0	N					
5	0	N					
5	0	N					
5	0	N					
5	0	N					
5	0	N					
5	0	N					
5	1	H					
5	1	H					
5	1	L					
5	1	L					
5	2	H					
5	2	H					
5	2	L					
5	2	L					
5	3	H					
5	3	H					
5	3	L					
5	3	L					
5	4	H					
5	4	H					
5	4	L					
5	4	L					
5	6	H					
5	6	H					
5	6	L					
5	6	L					
6	0	N					
6	0	N					
6	0	N					
6	0	N					
6	0	N					
6	0	N					
6	0	N					
6	0	N					
6	0	N					
6	0	N					
6	0	N					
6	0	N					
6	0	N					
6	0	N					
6	0	N					
6	0	N					
6	0	N					
6	0	N					
6	0	N					
6	0	N					
6	1	H					
6	1	H					
6	1	L					
6	1	L					
6	2	H					
6	2	H					
6	2	L					
6	2	L					
6	3	H					
6	3	H					
6	3	L					
6	3	L					
6	4	H					
6	4	H					
6	4	L					
6	4	L					
6	5	H					
6	5	H					
6	5	L					
6	5	L					
